Rank,Score,Type,ID,Name,Description
1203,50.85,kd,CGS001-9143,SYNGR3,-
7263,-13.99,cp,BRD-A49370193,RO-60-0175,Serotonin receptor agonist
1204,50.84,kd,CGS001-26039,SS18L1,-
7261,-13.86,cp,BRD-A01787639,naftopidil,Adrenergic receptor antagonist
1205,50.82,kd,CGS001-2746,GLUD1,-
7259,-13.81,cp,BRD-K04111260,raclopride,Dopamine receptor antagonist
1206,50.81,kd,CGS001-57761,TRIB3,Trbl family
1208,50.73,oe,ccsbBroad304_01976,EIF4EBP3,-
7256,-13.76,cp,BRD-K71731651,PNU-120596,Acetylcholine receptor agonist
1209,50.6,kd,CGS001-56998,CTNNBIP1,Catenins
1210,50.55,oe,ccsbBroad304_02451,HOXB13,Homeoboxes / ANTP class : HOXL subclass
1211,50.54,kd,CGS001-10488,CREB3,basic leucine zipper proteins
1212,50.52,oe,ccsbBroad304_09177,EFCAB2,EF-hand domain containing
1214,50.43,oe,ccsbBroad304_01641,TAF13,-
7250,-13.61,cp,BRD-K10136726,tosyllysyl-chloromethyl-ketone,Chymotrypsin inhibitor
1215,50.4,kd,CGS001-81570,CLPB,Ankyrin repeat domain containing
7248,-13.59,cp,BRD-A96255180,ribavirin,Antiviral
1216,50.37,kd,CGS001-10153,CEBPZ,-
1217,50.36,kd,CGS001-154,ADRB2,GPCR / Class A : Adrenoceptors : beta
1218,50.33,kd,CGS001-9924,PAN2,Ubiquitin-specific peptidases
1219,50.29,kd,CGS001-54998,AURKAIP1,-
7243,-13.37,cp,BRD-K23623876,decafluorobutane,Contrast agent
1220,50.25,kd,CGS001-6605,SMARCE1,-
1221,50.25,kd,CGS001-79891,ZNF671,"Zinc fingers, C2H2-type"
7240,-13.28,cp,BRD-K22828899,TUL-XXI039,Serine/threonine kinase inhibitor
7239,-13.23,cp,BRD-K49456190,prima-1-met,thioredoxin inhibitor
7238,-13.22,cp,BRD-K54472332,elvitegravir,HIV integrase inhibitor
1222,50.15,oe,ccsbBroad304_07596,DLC1,Rho GTPase activating proteins
7235,-13.18,cp,BRD-K09485525,GANT-61,GLI antagonist
7236,-13.18,cp,BRD-K02130563,panobinostat,HDAC inhibitor
1223,50.14,kd,CGS001-26137,ZBTB20,BTB/POZ domain containing
7233,-13.11,cp,BRD-K96263742,GW-7647,PPAR receptor agonist
1226,50.07,kd,CGS001-51172,NAGPA,-
7231,-13.06,cp,BRD-A20239487,atenolol,Adrenergic receptor antagonist
1227,50.02,kd,CGS001-6857,SYT1,Synaptotagmins
1228,50.02,kd,CGS001-64223,MLST8,WD repeat domain containing
1229,49.99,kd,CGS001-4671,NAIP,Inhibitors of apoptosis (IAP) protein family
7227,-13,cp,BRD-A69636825,diltiazem,Calcium channel blocker
1230,49.89,kd,CGS001-9270,ITGB1BP1,-
1231,49.86,oe,ccsbBroad304_02392,PAK4,PAKB subfamily
1233,49.79,kd,CGS001-55107,ANO1,Calcium activated chloride channel
7223,-12.88,cp,BRD-K32906660,bis-tyrphostin,EGFR inhibitor
7222,-12.87,cp,BRD-K34098590,tienilic-acid,Sodium/potassium/chloride transporter inhibitor
7220,-12.86,cp,BRD-K21971034,OM-137,Aurora kinase inhibitor
1234,49.77,kd,CGS001-6927,HNF1A,Homeoboxes / HNF class
1235,49.76,kd,CGS001-339403,RXFP4,GPCR / Class A : Relaxin family peptide receptors
7218,-12.83,cp,BRD-K93325701,damnacanthal,SRC inhibitor
7214,-12.82,cp,BRD-A32164164,methyllycaconitine,Acetylcholine receptor antagonist
1236,49.68,oe,ccsbBroad304_03544,FAIM,-
1237,49.66,kd,CGS001-51466,EVL,-
1238,49.65,kd,CGS001-7353,UFD1L,-
7213,-12.81,cp,BRD-K08109516,L-701324,Glutamate receptor antagonist
7211,-12.79,cp,BRD-K54665485,R-59022,Diacylglycerol kinase inhibitor
1239,49.56,kd,CGS001-79258,MMEL1,-
1240,49.55,oe,ccsbBroad304_02448,UBE2E3,Ubiquitin-conjugating enzymes E2
7209,-12.76,cp,BRD-K92731339,perindopril,ACE inhibitor
1241,49.54,kd,CGS001-5433,POLR2D,RNA polymerase subunits
1243,49.36,kd,CGS001-10954,PDIA5,Protein disulfide isomerases
7206,-12.67,cp,BRD-K87991767,umbelliferone,Cyclooxygenase inhibitor
1244,49.31,oe,ccsbBroad304_10438,LGALS8,"Lectins, galactoside-binding"
1245,49.31,kd,CGS001-55127,HEATR1,-
1248,49.16,oe,ccsbBroad304_02321,ARL4C,ADP-ribosylation factors
1250,49.15,kd,CGS001-2583,B4GALNT1,Beta 4-glycosyltransferases
1251,49.13,kd,CGS001-22955,SCMH1,Sterile alpha motif (SAM) domain containing
7200,-12.56,cp,BRD-K46469693,SCH-442416,Adenosine receptor antagonist
7199,-12.54,cp,BRD-A27143604,DPN,Estrogen receptor agonist
1252,49.09,kd,CGS001-8974,P4HA2,-
7197,-12.49,cp,BRD-K28806945,L-750667,Dopamine receptor antagonist
1253,49.07,oe,ccsbBroad304_06621,NDUFA8,Mitochondrial respiratory chain complex / Complex I
1254,49.05,kd,CGS001-3660,IRF2,-
1255,49.05,kd,CGS001-2146,EZH2,Chromatin-modifying enzymes / K-methyltransferases
7193,-12.34,cp,BRD-K10016611,pyridine-2-aldoxime,Acetylcholinesterase inhibitor
1256,48.94,kd,CGS001-10287,RGS19,Regulators of G-protein signaling
7191,-12.32,cp,BRD-K28470988,L-690330,Inositol monophosphatase inhibitor
1257,48.94,kd,CGS001-3554,IL1R1,Interleukins and interleukin receptors
1258,48.82,kd,CGS001-6774,STAT3,SH2 domain containing
7188,-12.29,cp,BRD-K89152108,liothyronine,Thyroid hormone stimulant
7186,-12.28,cp,BRD-K20197062,SA-94315,Caspase inhibitor
1260,48.77,kd,CGS001-5371,PML,RING-type (C3HC4) zinc fingers
1261,48.77,kd,CGS001-51752,ERAP1,Aminopeptidase N
7183,-12.21,cp,BRD-K10176267,L-701252,Glutamate receptor antagonist
1262,48.73,kd,CGS001-3087,HHEX,Homeoboxes / ANTP class : NKL subclass
1264,48.72,oe,ccsbBroad304_03961,SMURF2,-
1266,48.63,kd,CGS001-596,BCL2,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"
1267,48.45,kd,CGS001-6194,RPS6,S ribosomal proteins
1268,48.38,kd,CGS001-23499,MACF1,EF-hand domain containing
1269,48.35,kd,CGS001-166793,ZBTB49,BTB/POZ domain containing
7177,-11.97,cp,BRD-K64994968,progesterone,Progesterone receptor agonist
7175,-11.94,cp,BRD-A74500471,ethambutol,Bacterial cell wall synthesis inhibitor
1270,48.3,kd,CGS001-9928,KIF14,Kinesins
7173,-11.86,cp,BRD-A48720949,testosterone,androgen receptor agonist
7174,-11.86,cp,BRD-K35531059,molsidomine,Guanylyl cyclase activator
7172,-11.84,cp,BRD-K05396879,15-delta-prostaglandin-j2,PPAR receptor agonist
1271,48.29,oe,ccsbBroad304_02045,BUD31,-
7170,-11.8,cp,BRD-K08273968,griseofulvin,Tubulin inhibitor
1273,48.2,kd,CGS001-84433,CARD11,-
1274,48.15,kd,CGS001-9653,HS2ST1,"Sulfotransferases, membrane-bound"
1275,48.1,kd,CGS001-7867,MAPKAPK3,MAPKAPK subfamily
1276,48.1,kd,CGS001-2010,EMD,-
1277,48.08,kd,CGS001-4055,LTBR,Tumor necrosis factor receptor superfamily
1278,48.04,oe,ccsbBroad304_02239,RASSF2,-
7162,-11.73,cp,BRD-K68873215,phosphodiesterase-V-inhibitor-II,Phosphodiesterase inhibitor
1279,47.98,oe,ccsbBroad304_02447,ATP5H,ATPases / F-type
7160,-11.69,cp,BRD-K26134695,calpeptin,Calpain inhibitor
1280,47.98,kd,CGS001-7088,TLE1,WD repeat domain containing
1281,47.98,oe,ccsbBroad304_00533,FABP4,Fatty acid binding protein family
7158,-11.61,cp,BRD-K88849294,lobaric-acid,Tyrosine phosphatase inhibitor
7157,-11.59,cc,,Serpin peptidase inhibitors LOF,-
7156,-11.55,cp,BRD-K02275692,cefotiam,Bacterial cell wall synthesis inhibitor
1282,47.98,oe,ccsbBroad304_06133,TOR1A,-
7154,-11.53,cp,BRD-A53131506,epitestosterone,Inactive testosterone analog
1283,47.97,kd,CGS001-4149,MAX,Basic helix-loop-helix proteins
1284,47.97,oe,ccsbBroad304_03340,LSR,Immunoglobulin superfamily / Immunoglobulin-like domain containing
1285,47.9,oe,ccsbBroad304_05947,CCNC,-
7150,-11.41,cp,BRD-K24538644,KUC104502N,-666
1288,47.84,kd,CGS001-5607,MAP2K5,MAPKK:STE7 family
7146,-11.34,cp,BRD-U97083655,teicoplanin,Bacterial cell wall synthesis inhibitor
7147,-11.34,cp,BRD-K05737787,isoeugenol,Nitric oxide production inhibitor
1289,47.81,kd,CGS001-7076,TIMP1,-
1290,47.81,kd,CGS001-10641,NPRL2,-
1291,47.78,kd,CGS001-5021,OXTR,GPCR / Class A : Vasopressin and oxytocin receptors
1292,47.64,kd,CGS001-4088,SMAD3,SMADs
7141,-11.29,cp,BRD-K53878242,MMPX,Phosphodiesterase inhibitor
1293,47.63,kd,CGS001-79722,ANKRD55,Ankyrin repeat domain containing
1295,47.59,kd,CGS001-5613,PRKX,Protein kinase A
7139,-11.23,cp,BRD-K73109821,diazoxide,Potassium channel activator
7138,-11.22,cp,BRD-K35498378,alrestatin,Aldose reductase inhibitor
1296,47.58,oe,ccsbBroad304_06159,CTTN,-
1297,47.57,oe,ccsbBroad304_06288,GMDS,Short chain dehydrogenase/reductase superfamily / Extended SDR fold
7134,-11.16,cp,BRD-A43930669,L-368899,Oxytocin receptor antagonist
1298,47.55,kd,CGS001-22796,COG2,Components of oligomeric golgi complex
1299,47.54,kd,CGS001-25966,C2CD2,-
7132,-11.14,cp,BRD-K50891186,GR-103691,Dopamine receptor antagonist
1300,47.5,kd,CGS001-1962,EHHADH,-
7130,-11.11,cp,BRD-K27351809,nomegestrol,Progesterone receptor agonist
7129,-11.1,cp,BRD-K29733039,deforolimus,MTOR inhibitor
7128,-11.07,cp,BRD-A55393291,testosterone,Androgen receptor agonist
1301,47.49,kd,CGS001-2524,FUT2,Fucosyltransferases
7126,-11.04,cp,BRD-A65282128,cefazolin,Bacterial cell wall synthesis inhibitor
1302,47.48,kd,CGS001-132,ADK,Adenosine turnover
1305,47.39,kd,CGS001-9891,NUAK1,NuaK subfamily
7123,-10.99,cp,BRD-K93618743,ipriflavone,Bone resorption inhibitor
7122,-10.95,cp,BRD-A32836748,leu-enkephalin,Opioid receptor agonist
1306,47.37,kd,CGS001-114904,C1QTNF6,-
7120,-10.93,cp,BRD-A85025557,NCS-382,GABA receptor antagonist
7119,-10.91,cp,BRD-K82846253,repaglinide,Insulin secretagogue
7118,-10.89,cp,BRD-K04412738,tramadol,Norepinephrine reuptake inhibitor
7117,-10.85,cp,BRD-A91866971,SQ-29548,Thromboxane receptor antagonist
7115,-10.81,cp,BRD-A62890442,3-methyl-GABA,GABA aminotransferase activator
1308,47.27,kd,CGS001-56997,ADCK3,ABC1-B subfamily
7114,-10.8,cp,BRD-K08287586,butylparaben,DNA synthesis inhibitor
1310,47.2,kd,CGS001-10797,MTHFD2,-
1311,47.18,kd,CGS001-4204,MECP2,-
7110,-10.6,cp,BRD-K30677119,PP-30,RAF inhibitor
7111,-10.6,cp,BRD-A85472596,L-670596,Prostanoid receptor antagonist
7109,-10.56,cp,BRD-K05464208,JX-401,p38 MAPK inhibitor
1312,47.15,kd,CGS001-3945,LDHB,-
7106,-10.54,cp,BRD-K63874012,thioperamide,Histamine receptor antagonist
1314,47.14,kd,CGS001-51182,HSPA14,Heat shock proteins / HSP70
1315,47.13,kd,CGS001-5049,PAFAH1B2,-
7104,-10.49,cp,BRD-K93480852,KN-93,Calcium-calmodulin dependent protein kinase inhibitor
7103,-10.48,cp,BRD-K50660797,epicatechin,Bacterial DNA gyrase inhibitor
1316,47.06,oe,ccsbBroad304_07238,STK24,YSK subfamily
1317,47.05,kd,CGS001-10914,PAPOLA,-
1318,46.99,kd,CGS001-60528,ELAC2,-
1321,46.85,kd,CGS001-1949,EFNB3,Ephrins
7098,-10.36,cp,BRD-K19525698,ozagrel,Thromboxane synthase inhibitor
1322,46.81,kd,CGS001-8702,B4GALT4,Beta 4-glycosyltransferases
7093,-10.32,cp,BRD-K96527333,dehydroisoandosterone,GABA receptor modulator
7094,-10.32,cp,BRD-A90311807,cilastatin,Dehydropeptidase inhibitor
1323,46.81,oe,ccsbBroad304_06449,ILF3,-
7096,-10.32,cp,BRD-K40645748,mefloquine,Adenosine receptor antagonist
1324,46.73,kd,CGS001-9925,ZBTB5,BTB/POZ domain containing
7090,-10.28,cp,BRD-K70883034,nimetazepam,GABA receptor agonist
7091,-10.28,cp,BRD-K87048468,RS-102221,Serotonin receptor antagonist
7092,-10.28,cp,BRD-A83326220,brazilin,Nitric oxide production inhibitor
7088,-10.23,cp,BRD-K15519488,CS-110266,Dopamine receptor agonist
1325,46.73,oe,ccsbBroad304_00519,ETFB,-
1326,46.58,oe,ccsbBroad304_00212,CAMLG,-
1328,46.46,kd,CGS001-10202,DHRS2,Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
7084,-10.2,cp,BRD-K61691971,avrainvillamide-analog-1,nucleophosmin inhibitor
7083,-10.16,cp,BRD-A08877921,cephalotaxine,Protein synthesis inhibitor
7082,-10.12,cp,BRD-A43940795,tetrahydropalmatine,Serotonin release inhibitor
1329,46.42,kd,CGS001-7280,TUBB2A,Tubulins
1330,46.42,kd,CGS001-29915,HCFC2,-
7080,-10.05,cp,BRD-A10523515,GSK-429286A,Rho associated kinase inhibitor
7078,-10.04,cp,BRD-A15493168,tetracycline,Bacterial 30S ribosomal subunit inhibitor
1331,46.42,kd,CGS001-9831,ZNF623,"Zinc fingers, C2H2-type"
1332,46.41,kd,CGS001-1649,DDIT3,-
1333,46.41,kd,CGS001-1488,CTBP2,-
1335,46.38,oe,ccsbBroad304_01025,ALDH6A1,Aldehyde dehydrogenases
1336,46.33,oe,ccsbBroad304_09657,PHF13,"Zinc fingers, PHD-type"
7073,-9.93,cp,BRD-A18620900,estriol,Estrogen receptor agonist
1337,46.3,kd,CGS001-9851,KIAA0753,-
7069,-9.87,cp,BRD-K23335153,AMN-082,Glutamate receptor modulator
1338,46.28,kd,CGS001-6509,SLC1A4,Alanine/serine/cysteine transporter subfamily
1341,46.05,kd,CGS001-191,AHCY,Adenosine turnover
1342,46.04,kd,CGS001-8766,RAB11A,"RAB, member RAS oncogene"
1344,46.01,kd,CGS001-2683,B4GALT1,Beta 4-glycosyltransferases
1346,45.92,kd,CGS001-6256,RXRA,Retinoid X receptors
1347,45.89,kd,CGS001-51441,YTHDF2,-
1349,45.86,kd,CGS001-5744,PTHLH,Endogenous ligands
1350,45.85,kd,CGS001-9867,PJA2,RING-type (C3HC4) zinc fingers
1351,45.85,kd,CGS001-90861,HN1L,-
1352,45.83,kd,CGS001-54205,CYCS,-
1353,45.83,kd,CGS001-5321,PLA2G4A,Phospholipase A2
7057,-9.67,cc,,Structural maintenance of chromosomes proteins LOF,-
1354,45.75,oe,ccsbBroad304_05980,CDKN1B,-
7056,-9.66,cp,BRD-K79602928,metformin,Insulin sensitizer
7054,-9.62,cp,BRD-K50214219,CS-1657,PARP inhibitor
1355,45.72,kd,CGS001-10096,ACTR3,-
1357,45.67,oe,ccsbBroad304_01350,PVRL2,Immunoglobulin superfamily / C2-set domain containing
7052,-9.56,cp,BRD-K67831364,ZM-323881,VEGFR inhibitor
7051,-9.55,cp,BRD-K03670461,tyrphostin-AG-82,EGFR inhibitor
7050,-9.54,cp,BRD-A72758037,asiatic-acid,Apoptosis stimulant
1358,45.63,oe,ccsbBroad304_06450,ILK,Ankyrin repeat domain containing
7048,-9.45,cp,BRD-K35559145,levomepromazine,Dopamine receptor antagonist
1360,45.48,kd,CGS001-2224,FDPS,Lanosterol biosynthesis pathway
1361,45.4,kd,CGS001-53340,SPA17,-
7045,-9.4,cp,BRD-K48115423,2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol,Matrix metalloprotease inhibitor
1362,45.26,kd,CGS001-5747,PTK2,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"
7042,-9.32,cp,BRD-K90333595,phentolamine,Adrenergic receptor antagonist
1363,45.23,kd,CGS001-51079,NDUFA13,Mitochondrial respiratory chain complex / Complex I
7041,-9.31,cp,BRD-K13390322,AT-7519,CDK inhibitor
1364,45.23,kd,CGS001-4214,MAP3K1,MAPKKK:STE11 family
7038,-9.28,cp,BRD-A97730597,hexylcaine,Sodium channel blocker
7039,-9.28,cp,BRD-K95609758,BMS-191011,Potassium channel activator
1366,45.13,oe,ccsbBroad304_08325,LIPT1,-
7036,-9.22,cp,BRD-K27721098,clopidogrel,Purinergic receptor antagonist
7035,-9.18,cp,BRD-K14920963,erythrosine,Coloring agent
1367,45.09,kd,CGS001-3791,KDR,Type IV RTKs: VEGF (vascular endothelial growth factor) receptor family
7034,-9.16,cp,BRD-K12102668,nialamide,Monoamine oxidase inhibitor
7031,-9.11,cp,BRD-A71262238,nafadotride,Dopamine receptor antagonist
1368,45.09,oe,ccsbBroad304_06338,GTF2A2,General transcription factors
1369,45.07,kd,CGS001-1906,EDN1,Endogenous ligands
1370,45.04,kd,CGS001-7020,TFAP2A,-
1371,45.01,oe,ccsbBroad304_00501,EMD,-
7028,-9.06,cp,BRD-K75532464,FTI-276,Farnesyltransferase inhibitor
1372,44.96,kd,CGS001-8204,NRIP1,-
1373,44.95,oe,ccsbBroad304_04154,DENND2D,DENN/MADD domain containing
1374,44.94,kd,CGS001-23466,CBX6,-
7023,-9.02,cp,BRD-K42142750,retrorsine,Antimitotic
7022,-9.01,cp,BRD-K19360254,ergocornine,Dopamine receptor agonist
1375,44.93,kd,CGS001-339327,ZNF546,"Zinc fingers, C2H2-type"
1376,44.88,kd,CGS001-94235,GNG8,-
1377,44.85,oe,ccsbBroad304_13934,PTK2,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"
1378,44.84,kd,CGS001-192286,HIGD2A,-
1379,44.79,kd,CGS001-122618,PLD4,-
7015,-8.85,cp,BRD-K59597909,phenothiazine,Dopamine receptor antagonist
1380,44.71,kd,CGS001-2882,GPX7,-
1381,44.69,oe,ccsbBroad304_00328,CLK3,CDC-like kinases
1382,44.67,kd,CGS001-22889,KIAA0907,-
7014,-8.84,cp,BRD-K88568253,iproniazid,Monoamine oxidase inhibitor
1383,44.67,kd,CGS001-3419,IDH3A,-
1384,44.64,oe,ccsbBroad304_00105,ARNTL,Basic helix-loop-helix proteins
1385,44.64,oe,ccsbBroad304_02746,FBXW11,F-boxes / WD-40 domains
7007,-8.79,cp,BRD-K37792168,denbufylline,Phosphodiesterase inhibitor
1386,44.63,kd,CGS001-444,ASPH,-
1387,44.6,kd,CGS001-3455,IFNAR2,Interferon receptor family
1388,44.56,kd,CGS001-147807,ZNF524,"Zinc fingers, C2H2-type"
1389,44.53,oe,ccsbBroad304_02956,EHF,-
1390,44.5,kd,CGS001-3635,INPP5D,Inositol polyphosphate phosphatases
1391,44.5,oe,ccsbBroad304_06894,RPS6,S ribosomal proteins
7000,-8.64,cp,BRD-A14395271,mesoridazine,Dopamine receptor antagonist
1393,44.43,kd,CGS001-7690,ZNF131,BTB/POZ domain containing
6998,-8.63,cp,BRD-K93258693,GW-9662,PPAR receptor antagonist
1394,44.37,kd,CGS001-10600,USP16,Ubiquitin-specific peptidases
6997,-8.59,cp,BRD-K05395900,nicotine,Acetylcholine receptor agonist
6996,-8.58,cp,BRD-K42748308,XE-991,Potassium channel blocker
1396,44.3,kd,CGS001-2071,ERCC3,General transcription factors
6994,-8.56,cp,BRD-K01493881,apigenin,Casein kinase inhibitor
6995,-8.56,cp,BRD-K82983861,GW-0742,PPAR receptor agonist
1398,44.19,kd,CGS001-55163,PNPO,-
1401,44.14,kd,CGS001-149233,IL23R,IL-12 receptor family
6989,-8.47,cp,BRD-K99946902,hexylresorcinol,Local anesthetic
1402,44.13,oe,ccsbBroad304_05394,ZNF621,"Zinc fingers, C2H2-type"
6987,-8.46,cp,BRD-K45068323,W-13,Calmodulin antagonist
6988,-8.46,cp,BRD-A42167015,carteolol,Adrenergic receptor antagonist
1403,44.13,kd,CGS001-204219,CERS3,Homeoboxes / CERS class
6984,-8.44,cc,,Non Homologous End Joining LOF,-
1404,44.09,kd,CGS001-5351,PLOD1,-
1405,44.06,kd,CGS001-6599,SMARCC1,-
6981,-8.4,cp,BRD-A59808129,guggulsterone,Cholesterol inhibitor
1406,44.03,kd,CGS001-9686,VGLL4,-
1407,43.98,kd,CGS001-5720,PSME1,"Proteasome (prosome, macropain) subunits"
1408,43.96,kd,CGS001-6119,RPA3,-
6978,-8.37,cp,BRD-K92413528,thiazolidinecarboxylic-acid,Reducing agent
6976,-8.36,cp,BRD-K07888196,tyrphostin-AG-538,IGF-1 inhibitor
1409,43.93,kd,CGS001-23435,TARDBP,RNA binding motif (RRM) containing
1410,43.91,kd,CGS001-26353,HSPB8,Heat shock proteins / HSPB
1411,43.82,kd,CGS001-3934,LCN2,Lipocalins
6972,-8.34,cp,BRD-A83855350,naltrexone,Opioid receptor antagonist
1412,43.76,kd,CGS001-65123,INTS3,-
6971,-8.3,cp,BRD-K63165456,norcyclobenzaprine,Adrenergic receptor agonist
1413,43.68,kd,CGS001-22921,MSRB2,-
6969,-8.24,cp,BRD-K43887077,dopamine,Dopamine receptor agonist
1415,43.61,oe,ccsbBroad304_02058,PLOD3,-
1417,43.61,kd,CGS001-11180,WDR6,WD repeat domain containing
6964,-8.19,cp,BRD-A65550283,ginsenoside,Steroid hormone receptor agonist
6965,-8.19,cp,BRD-A01295252,trans-7-hydroxy-pipat,Dopamine receptor ligand
1418,43.57,oe,ccsbBroad304_10231,SETDB1,Histone methyltransferases (HMTs)
6963,-8.18,cp,BRD-K00615600,AG-14361,PARP inhibitor
1420,43.55,kd,CGS001-10400,PEMT,-
1421,43.44,oe,ccsbBroad304_02279,RBX1,RING-type (C3HC4) zinc fingers
1422,43.37,oe,ccsbBroad304_00578,FLI1,ETS Transcription Factors
6959,-8.12,cp,BRD-K48735772,PD-158780,EGFR inhibitor
6957,-8.1,cp,BRD-K09859624,methantheline,Acetylcholine receptor antagonist
6958,-8.1,cp,BRD-K64341947,CFM-1571,Guanylate cyclase activator
6955,-8.09,cp,BRD-A49734948,foliosidine,Plant alkaloid
1423,43.35,kd,CGS001-84923,FAM104A,-
1425,43.18,kd,CGS001-593,BCKDHA,-
6953,-8.06,cp,BRD-A37776212,ICI-204448,Opioid receptor agonist
1427,43.15,kd,CGS001-5378,PMS1,-
1428,43.14,kd,CGS001-8651,SOCS1,SH2 domain containing
6950,-8.02,cp,BRD-K68246049,TTNPB,Retinoid receptor agonist
1429,43.11,oe,ccsbBroad304_01455,RPS16,S ribosomal proteins
1430,43.11,kd,CGS001-9748,SLK,SLK subfamily
1433,42.98,kd,CGS001-5888,RAD51,-
6946,-7.95,cp,BRD-K40782193,QX-222,Sodium channel blocker
1434,42.93,kd,CGS001-23461,ABCA5,ATP binding cassette transporters / subfamily A
1435,42.89,kd,CGS001-7056,THBD,CD molecules
6942,-7.89,cp,BRD-K29582115,ziprasidone,Dopamine receptor antagonist
6943,-7.89,cp,BRD-K95885906,quercetagetin,PIM inhibitor
6939,-7.88,cp,BRD-A82656074,naltrindole,Opioid receptor antagonist
6940,-7.88,cp,BRD-K33193182,methylnorlichexanthone,Aurora kinase inhibitor
6941,-7.88,cp,BRD-K45542189,diethylcarbamazine,Lipoxygenase inhibitor
1436,42.89,kd,CGS001-387509,GPR153,GPCR / Class A : Orphans
1439,42.77,oe,ccsbBroad304_00115,ASPH,-
1441,42.71,oe,ccsbBroad304_03903,ABHD4,Abhydrolase domain containing
1442,42.67,kd,CGS001-22,ABCB7,ATP binding cassette transporters / subfamily B
1443,42.67,kd,CGS001-10250,SRRM1,-
6933,-7.77,cp,BRD-K37814297,acepromazine,Dopamine receptor antagonist
6932,-7.75,cc,,Sterol demethylase inhibitor,-
6931,-7.72,cp,BRD-K78373679,RO-3306,CDK inhibitor
1444,42.66,kd,CGS001-5292,PIM1,PIM family
6929,-7.65,cp,BRD-K74763371,bosentan,Endothelin receptor antagonist
1445,42.61,oe,ccsbBroad304_02136,COPS2,-
1446,42.61,kd,CGS001-892,CCNC,-
6928,-7.63,cp,BRD-K55191674,benzylpenicillin,Penicillin binding protein inhibitor
1447,42.58,kd,CGS001-6146,RPL22,L ribosomal proteins
1449,42.38,kd,CGS001-1604,CD55,CD molecules
6922,-7.6,cp,BRD-K30867024,SB-216641,Serotonin receptor antagonist
1450,42.37,kd,CGS001-5684,PSMA3,Proteasome subunits
1451,42.37,kd,CGS001-5624,PROC,Endogenous ligands
1452,42.32,oe,ccsbBroad304_05941,CBR3,Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
1453,42.32,kd,CGS001-3376,IARS,Aminoacyl tRNA synthetases / Class I
1454,42.26,kd,CGS001-3663,IRF5,-
6917,-7.48,cp,BRD-K01624546,docosatrienoic-acid,LTB4 inhibitor
6915,-7.47,cp,BRD-K27499107,carbacyclin,IP receptor activator
1455,42.25,kd,CGS001-5934,RBL2,-
1456,42.24,oe,ccsbBroad304_05002,ZNF563,"Zinc fingers, C2H2-type"
6912,-7.43,cp,BRD-K08219523,5-nonyloxytryptamine,Serotonin receptor agonist
1457,42.22,kd,CGS001-116113,FOXP4,Forkhead boxes
6910,-7.41,cp,BRD-K60038276,irbesartan,Angiotensin receptor antagonist
1458,42.19,kd,CGS001-5053,PAH,Amino acid hydroxylases
6909,-7.38,cp,BRD-K86595100,chlordiazepoxide,Benzodiazepine receptor agonist
1459,42.15,kd,CGS001-210,ALAD,-
1460,42.15,kd,CGS001-1645,AKR1C1,Aldo-keto reductases
6905,-7.29,cp,BRD-A35338386,NECA,Adenosine receptor agonist
1461,42.1,kd,CGS001-29937,NENF,-
6904,-7.28,cp,BRD-K05901394,terguride,Dopamine receptor agonist
1462,42.08,oe,ccsbBroad304_03591,ETNK1,-
6901,-7.26,cp,BRD-A00758722,noretynodrel,Progestogen hormone
6902,-7.26,cp,BRD-A59303141,quinethazone,Thiazide diuretic
1463,42.05,kd,CGS001-8717,TRADD,-
1464,42.03,oe,ccsbBroad304_08684,CXCR7,-
6898,-7.19,cp,BRD-K77133231,PD-169316,p38 MAPK inhibitor
1465,41.93,oe,ccsbBroad304_02213,TRAF4,RING-type (C3HC4) zinc fingers
6895,-7.16,cp,BRD-K45435259,SCH-23390,Dopamine receptor antagonist
1466,41.89,kd,CGS001-3329,HSPD1,Heat Shock Proteins / Chaperonins
1467,41.89,oe,ccsbBroad304_06976,SMARCE1,-
1468,41.87,kd,CGS001-8935,SKAP2,Pleckstrin homology (PH) domain containing
1469,41.81,kd,CGS001-10365,KLF2,Kruppel-like transcription factors
1470,41.79,kd,CGS001-54788,DNAJB12,Heat shock proteins / DNAJ (HSP40)
1472,41.75,kd,CGS001-27109,ATP5S,-
1474,41.65,oe,ccsbBroad304_07667,CGRRF1,RING-type (C3HC4) zinc fingers
6888,-7.08,cp,BRD-K63150726,JTE-907,Cannabinoid receptor inverse agonist
1475,41.59,kd,CGS001-150,ADRA2A,GPCR / Class A : Adrenoceptors : alpha
6886,-7.05,cp,BRD-K23204545,busulfan,DNA inhibitor
1476,41.41,kd,CGS001-4174,MCM5,-
6882,-7,cc,,Serotonin receptor agonist,-
6883,-7,cp,BRD-K68402494,ML-9,Myosin light chain kinase inhibitor
1477,41.37,kd,CGS001-10127,ZNF263,"Zinc fingers, C2H2-type"
1478,41.32,kd,CGS001-8566,PDXK,-
1479,41.29,oe,ccsbBroad304_00626,GDI1,-
6881,-6.99,cp,BRD-K17349619,HLI-373,MDM inhibitor
